"","goAcc","Protein_ID","GO_terms"
"9001","GO:0003774","488802","cytoskeletal motor activity"
"9002","GO:0005524","488802","ATP binding"
"9003","GO:0016459","488802","myosin complex"
"9004","GO:0004682","488802","obsolete protein kinase CK2 activity"
"9005","GO:0003824","488813","catalytic activity"
"9006","GO:0004339","488813","glucan 1,4-alpha-glucosidase activity"
"9007","GO:0005976","488813","polysaccharide metabolic process"
"9008","GO:0006508","488840","proteolysis"
"9009","GO:0008236","488840","serine-type peptidase activity"
"9010","GO:0004254","488840","obsolete acylaminoacyl-peptidase activity"
"9011","GO:0001682","488846","tRNA 5'-leader removal"
"9012","GO:0004526","488846","ribonuclease P activity"
"9013","GO:0006396","488846","RNA processing"
"9014","GO:0016491","488853","oxidoreductase activity"
"9015","GO:0003960","488907","NADPH:quinone reductase activity"
"9016","GO:0003677","488931","DNA binding"
"9017","GO:0005524","488931","ATP binding"
"9018","GO:0003676","488931","nucleic acid binding"
"9019","GO:0004386","488931","helicase activity"
"9020","GO:0003676","488943","nucleic acid binding"
"9021","GO:0006284","488958","base-excision repair"
"9022","GO:0003824","488958","catalytic activity"
"9023","GO:0006281","488958","DNA repair"
"9024","GO:0000701","488958","purine-specific mismatch base pair DNA N-glycosylase activity"
"9025","GO:0004844","488958","uracil DNA N-glycosylase activity"
"9026","GO:0017065","488958","single-strand selective uracil DNA N-glycosylase activity"
"9027","GO:0019104","488958","DNA N-glycosylase activity"
"9028","GO:0043733","488958","DNA-3-methylbase glycosylase activity"
"9029","GO:0005097","488964","GTPase activator activity"
"9030","GO:0005622","488964","intracellular anatomical structure"
"9031","GO:0032313","488964","regulation of GTPase activity"
"9032","GO:0005524","488982","ATP binding"
"9033","GO:0015991","488982","proton transmembrane transport"
"9034","GO:0016021","488982","membrane"
"9035","GO:0016469","488982","proton-transporting two-sector ATPase complex"
"9036","GO:0042626","488982","ATPase-coupled transmembrane transporter activity"
"9037","GO:0046961","488982","proton-transporting ATPase activity, rotational mechanism"
"9038","GO:0004659","488987","prenyltransferase activity"
"9039","GO:0016021","488987","membrane"
"9040","GO:0005524","488987","ATP binding"
"9041","GO:0016887","488987","ATP hydrolysis activity"
"9042","GO:0000166","488987","nucleotide binding"
"9043","GO:0017111","488987","ribonucleoside triphosphate phosphatase activity"
"9044","GO:0006810","488987","transport"
"9045","GO:0042626","488987","ATPase-coupled transmembrane transporter activity"
"9046","GO:0006364","488988","rRNA processing"
"9047","GO:0032040","488988","small-subunit processome"
"9048","GO:0005524","488989","ATP binding"
"9049","GO:0006810","488989","transport"
"9050","GO:0015662","488989","P-type ion transporter activity"
"9051","GO:0016020","488989","membrane"
"9052","GO:0006812","488989","monoatomic cation transport"
"9053","GO:0016021","488989","membrane"
"9054","GO:0016887","488989","ATP hydrolysis activity"
"9055","GO:0016820","488989","ATPase-coupled transmembrane transporter activity"
"9056","GO:0006621","488994","protein retention in ER lumen"
"9057","GO:0016021","488994","membrane"
"9058","GO:0046923","488994","ER retention sequence binding"
"9059","GO:0003700","488996","DNA-binding transcription factor activity"
"9060","GO:0005634","488996","nucleus"
"9061","GO:0006355","488996","regulation of DNA-templated transcription"
"9062","GO:0008270","488996","zinc ion binding"
"9063","GO:0043565","488996","sequence-specific DNA binding"
"9064","GO:0008483","488999","transaminase activity"
"9065","GO:0030170","488999","pyridoxal phosphate binding"
"9066","GO:0004587","488999","ornithine-oxo-acid transaminase activity"
"9067","GO:0005759","489016","mitochondrial matrix"
"9068","GO:0008270","489035","zinc ion binding"
"9069","GO:0004553","489049","hydrolase activity, hydrolyzing O-glycosyl compounds"
"9070","GO:0005975","489049","carbohydrate metabolic process"
"9071","GO:0008422","489049","beta-glucosidase activity"
"9072","GO:0003723","489051","RNA binding"
"9073","GO:0003735","489051","structural constituent of ribosome"
"9074","GO:0005622","489051","intracellular anatomical structure"
"9075","GO:0005840","489051","ribosome"
"9076","GO:0006412","489051","translation"
"9077","GO:0003676","489051","nucleic acid binding"
"9078","GO:0006284","489054","base-excision repair"
"9079","GO:0003824","489054","catalytic activity"
"9080","GO:0006281","489054","DNA repair"
"9081","GO:0003905","489054","alkylbase DNA N-glycosylase activity"
"9082","GO:0004222","489056","metalloendopeptidase activity"
"9083","GO:0006508","489056","proteolysis"
"9084","GO:0016020","489056","membrane"
"9085","GO:0004871","489058","obsolete signal transducer activity"
"9086","GO:0007165","489058","signal transduction"
"9087","GO:0003677","489064","DNA binding"
"9088","GO:0005524","489064","ATP binding"
"9089","GO:0003676","489064","nucleic acid binding"
"9090","GO:0004386","489064","helicase activity"
"9091","GO:0005515","489064","protein binding"
"9092","GO:0008270","489064","zinc ion binding"
"9093","GO:0005338","489076","nucleotide-sugar transmembrane transporter activity"
"9094","GO:0015780","489076","nucleotide-sugar transmembrane transport"
"9095","GO:0016021","489076","membrane"
"9096","GO:0000139","489076","Golgi membrane"
"9097","GO:0005351","489076","carbohydrate:proton symporter activity"
"9098","GO:0008643","489076","carbohydrate transport"
"9099","GO:0005737","489085","cytoplasm"
"9100","GO:0016413","489085","O-acetyltransferase activity"
"9101","GO:0004414","489085","homoserine O-acetyltransferase activity"
"9102","GO:0003676","489114","nucleic acid binding"
"9103","GO:0000398","489114","mRNA splicing, via spliceosome"
"9104","GO:0005681","489114","spliceosomal complex"
"9105","GO:0046907","489138","intracellular transport"
"9106","GO:0005576","489145","extracellular region"
"9107","GO:0016829","489145","lyase activity"
"9108","GO:0003824","489145","catalytic activity"
"9109","GO:0005975","489145","carbohydrate metabolic process"
"9110","GO:0030246","489145","carbohydrate binding"
"9111","GO:0005506","489155","iron ion binding"
"9112","GO:0006118","489155","obsolete electron transport"
"9113","GO:0016021","489155","membrane"
"9114","GO:0016491","489155","oxidoreductase activity"
"9115","GO:0050660","489155","flavin adenine dinucleotide binding"
"9116","GO:0000293","489155","ferric-chelate reductase activity"
"9117","GO:0006118","489156","obsolete electron transport"
"9118","GO:0016491","489156","oxidoreductase activity"
"9119","GO:0020037","489156","heme binding"
"9120","GO:0046914","489156","transition metal ion binding"
"9121","GO:0010181","489156","FMN binding"
"9122","GO:0004460","489156","L-lactate dehydrogenase (cytochrome) activity"
"9123","GO:0005515","489166","protein binding"
"9124","GO:0006461","489166","protein-containing complex assembly"
"9125","GO:0006886","489166","intracellular protein transport"
"9126","GO:0016192","489166","vesicle-mediated transport"
"9127","GO:0030117","489166","membrane coat"
"9128","GO:0008565","489166","obsolete protein transporter activity"
"9129","GO:0030131","489166","clathrin adaptor complex"
"9130","GO:0005488","489166","binding"
"9131","GO:0008152","489173","metabolic process"
"9132","GO:0016491","489173","oxidoreductase activity"
"9133","GO:0046872","489173","metal ion binding"
"9134","GO:0047988","489173","hydroxyacid-oxoacid transhydrogenase activity"
"9135","GO:0016787","489185","hydrolase activity"
"9136","GO:0004452","489185","isopentenyl-diphosphate delta-isomerase activity"
"9137","GO:0008299","489185","isoprenoid biosynthetic process"
"9138","GO:0006511","489186","ubiquitin-dependent protein catabolic process"
"9139","GO:0005515","489186","protein binding"
"9140","GO:0000145","489190","exocyst"
"9141","GO:0006904","489190","vesicle docking involved in exocytosis"
"9142","GO:0005515","489225","protein binding"
"9143","GO:0001671","489228","ATPase activator activity"
"9144","GO:0005737","489228","cytoplasm"
"9145","GO:0030189","489228","obsolete chaperone activator activity"
"9146","GO:0051087","489228","protein-folding chaperone binding"
"9147","GO:0031072","489238","heat shock protein binding"
"9148","GO:0046526","489240","D-xylulose reductase activity"
"9149","GO:0003676","489249","nucleic acid binding"
"9150","GO:0005622","489249","intracellular anatomical structure"
"9151","GO:0000226","489251","microtubule cytoskeleton organization"
"9152","GO:0000922","489251","spindle pole"
"9153","GO:0005815","489251","microtubule organizing center"
"9154","GO:0003676","489267","nucleic acid binding"
"9155","GO:0004519","489267","endonuclease activity"
"9156","GO:0006308","489267","DNA catabolic process"
"9157","GO:0016788","489267","hydrolase activity, acting on ester bonds"
"9158","GO:0003677","489271","DNA binding"
"9159","GO:0005524","489271","ATP binding"
"9160","GO:0003676","489271","nucleic acid binding"
"9161","GO:0004386","489271","helicase activity"
"9162","GO:0005515","489271","protein binding"
"9163","GO:0008270","489271","zinc ion binding"
"9164","GO:0003824","489305","catalytic activity"
"9165","GO:0000226","489310","microtubule cytoskeleton organization"
"9166","GO:0000922","489310","spindle pole"
"9167","GO:0005815","489310","microtubule organizing center"
"9168","GO:0006470","489330","protein dephosphorylation"
"9169","GO:0008138","489330","protein tyrosine/serine/threonine phosphatase activity"
"9170","GO:0016311","489330","dephosphorylation"
"9171","GO:0016791","489330","phosphatase activity"
"9172","GO:0003954","489337","NADH dehydrogenase activity"
"9173","GO:0016021","489343","membrane"
"9174","GO:0016192","489343","vesicle-mediated transport"
"9175","GO:0006810","489343","transport"
"9176","GO:0008234","489348","cysteine-type peptidase activity"
"9177","GO:0005778","489359","peroxisomal membrane"
"9178","GO:0016559","489359","peroxisome fission"
"9179","GO:0008152","489366","metabolic process"
"9180","GO:0016740","489366","transferase activity"
"9181","GO:0009058","489366","biosynthetic process"
"9182","GO:0016769","489366","transferase activity, transferring nitrogenous groups"
"9183","GO:0030170","489366","pyridoxal phosphate binding"
"9184","GO:0008710","489366","8-amino-7-oxononanoate synthase activity"
"9185","GO:0003700","489380","DNA-binding transcription factor activity"
"9186","GO:0005634","489380","nucleus"
"9187","GO:0006355","489380","regulation of DNA-templated transcription"
"9188","GO:0008270","489380","zinc ion binding"
"9189","GO:0006950","489382","response to stress"
"9190","GO:0016021","489382","membrane"
"9191","GO:0003777","489405","microtubule motor activity"
"9192","GO:0005524","489405","ATP binding"
"9193","GO:0005875","489405","microtubule associated complex"
"9194","GO:0007018","489405","microtubule-based movement"
"9195","GO:0006508","489407","proteolysis"
"9196","GO:0008233","489407","peptidase activity"
"9197","GO:0005515","489409","protein binding"
"9198","GO:0008270","489409","zinc ion binding"
"9199","GO:0003824","489449","catalytic activity"
"9200","GO:0009116","489449","nucleoside metabolic process"
"9201","GO:0016763","489449","pentosyltransferase activity"
"9202","GO:0017061","489449","S-methyl-5-thioadenosine phosphorylase activity"
"9203","GO:0000107","489453","imidazoleglycerol-phosphate synthase activity"
"9204","GO:0018071","489453","NAD(P)-cysteine ADP-ribosyltransferase activity"
"9205","GO:0018121","489453","NAD(P)-asparagine ADP-ribosyltransferase activity"
"9206","GO:0018127","489453","NAD(P)-serine ADP-ribosyltransferase activity"
"9207","GO:0043867","489453","7-cyano-7-deazaguanine tRNA-ribosyltransferase activity"
"9208","GO:0003676","489454","nucleic acid binding"
"9209","GO:0008270","489454","zinc ion binding"
"9210","GO:0030528","489454","obsolete transcription regulator activity"
"9211","GO:0045449","489454","regulation of DNA-templated transcription"
"9212","GO:0003677","489454","DNA binding"
"9213","GO:0003899","489454","DNA-directed 5'-3' RNA polymerase activity"
"9214","GO:0006350","489454","DNA-templated transcription"
"9215","GO:0004089","489460","carbonate dehydratase activity"
"9216","GO:0008270","489460","zinc ion binding"
"9217","GO:0015976","489460","carbon utilization"
"9218","GO:0004221","489467","obsolete ubiquitin thiolesterase activity"
"9219","GO:0005622","489467","intracellular anatomical structure"
"9220","GO:0006511","489467","ubiquitin-dependent protein catabolic process"
"9221","GO:0019787","489475","ubiquitin-like protein transferase activity"
"9222","GO:0043687","489475","post-translational protein modification"
"9223","GO:0051246","489475","regulation of protein metabolic process"
"9224","GO:0004842","489475","ubiquitin-protein transferase activity"
"9225","GO:0051438","489475","regulation of ubiquitin-protein transferase activity"
"9226","GO:0051440","489475","obsolete regulation of ubiquitin-protein ligase activity involved in meiotic cell cycle"
"9227","GO:0051443","489475","positive regulation of ubiquitin-protein transferase activity"
"9228","GO:0051444","489475","negative regulation of ubiquitin-protein transferase activity"
"9229","GO:0003723","489494","RNA binding"
"9230","GO:0004521","489494","RNA endonuclease activity"
"9231","GO:0033897","489494","ribonuclease T2 activity"
"9232","GO:0004616","489498","phosphogluconate dehydrogenase (decarboxylating) activity"
"9233","GO:0006098","489498","pentose-phosphate shunt"
"9234","GO:0016491","489498","oxidoreductase activity"
"9235","GO:0006508","489506","proteolysis"
"9236","GO:0008237","489506","metallopeptidase activity"
"9237","GO:0016787","489506","hydrolase activity"
"9238","GO:0046983","489506","protein dimerization activity"
"9239","GO:0004226","489506","obsolete Gly-X carboxypeptidase activity"
"9240","GO:0000166","489515","nucleotide binding"
"9241","GO:0017111","489515","ribonucleoside triphosphate phosphatase activity"
"9242","GO:0005524","489515","ATP binding"
"9243","GO:0005515","489515","protein binding"
"9244","GO:0019538","489515","protein metabolic process"
"9245","GO:0004003","489515","DNA helicase activity"
"9246","GO:0004004","489515","RNA helicase activity"
"9247","GO:0008026","489515","helicase activity"
"9248","GO:0008094","489515","ATP-dependent activity, acting on DNA"
"9249","GO:0008186","489515","ATP-dependent activity, acting on RNA"
"9250","GO:0015462","489515","ABC-type protein transporter activity"
"9251","GO:0016887","489515","ATP hydrolysis activity"
"9252","GO:0017116","489515","single-stranded DNA helicase activity"
"9253","GO:0042623","489515","ATP hydrolysis activity"
"9254","GO:0042624","489515","obsolete ATPase activity, uncoupled"
"9255","GO:0042625","489515","ATPase-coupled ion transmembrane transporter activity"
"9256","GO:0042626","489515","ATPase-coupled transmembrane transporter activity"
"9257","GO:0003824","489519","catalytic activity"
"9258","GO:0004633","489519","phosphopantothenoylcysteine decarboxylase activity"
"9259","GO:0004371","489524","glycerone kinase activity"
"9260","GO:0006071","489524","glycerol metabolic process"
"9261","GO:0005524","489524","ATP binding"
"9262","GO:0001668","489526","phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity"
"9263","GO:0008138","489526","protein tyrosine/serine/threonine phosphatase activity"
"9264","GO:0008330","489526","protein tyrosine/threonine phosphatase activity"
"9265","GO:0008579","489526","JUN kinase phosphatase activity"
"9266","GO:0008969","489526","protein histidine phosphatase activity"
"9267","GO:0016312","489526","inositol bisphosphate phosphatase activity"
"9268","GO:0017017","489526","MAP kinase tyrosine/serine/threonine phosphatase activity"
"9269","GO:0017161","489526","inositol-1,3,4-trisphosphate 4-phosphatase activity"
"9270","GO:0019175","489526","alpha-ribazole phosphatase activity"
"9271","GO:0019178","489526","NADP phosphatase activity"
"9272","GO:0019198","489526","transmembrane receptor protein phosphatase activity"
"9273","GO:0030351","489526","inositol-1,3,4,5,6-pentakisphosphate 3-phosphatase activity"
"9274","GO:0030352","489526","inositol-1,4,5,6-tetrakisphosphate 6-phosphatase activity"
"9275","GO:0043726","489526","5-amino-6-(5-phosphoribitylamino)uracil phosphatase activity"
"9276","GO:0043812","489526","phosphatidylinositol-4-phosphate phosphatase activity"
"9277","GO:0043813","489526","phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity"
"9278","GO:0004607","489544","phosphatidylcholine-sterol O-acyltransferase activity"
"9279","GO:0006629","489544","lipid metabolic process"
"9280","GO:0046027","489544","phospholipid:diacylglycerol acyltransferase activity"
"9281","GO:0016021","489560","membrane"
"9282","GO:0008270","489596","zinc ion binding"
"9283","GO:0008080","489601","N-acetyltransferase activity"
"9284","GO:0008152","489601","metabolic process"
"9285","GO:0004402","489601","histone acetyltransferase activity"
"9286","GO:0003677","489605","DNA binding"
"9287","GO:0005677","489605","chromatin silencing complex"
"9288","GO:0006342","489605","heterochromatin formation"
"9289","GO:0006355","489605","regulation of DNA-templated transcription"
"9290","GO:0006476","489605","protein deacetylation"
"9291","GO:0008270","489605","zinc ion binding"
"9292","GO:0017136","489605","NAD-dependent histone deacetylase activity"
"9293","GO:0051287","489605","NAD binding"
"9294","GO:0004407","489605","histone deacetylase activity"
"9295","GO:0008418","489605","protein-N-terminal asparagine amidohydrolase activity"
"9296","GO:0008759","489605","UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity"
"9297","GO:0018748","489605","iprodione amidohydrolase activity"
"9298","GO:0018749","489605","(3,5-dichlorophenylurea)acetate amidohydrolase activity"
"9299","GO:0043747","489605","obsolete N2-acetyl-L-lysine deacetylase activity"
"9300","GO:0043748","489605","O-succinylbenzoate synthase activity"
"9301","GO:0043864","489605","indoleacetamide hydrolase activity"
"9302","GO:0047419","489605","N-acetylgalactosamine-6-phosphate deacetylase activity"
"9303","GO:0003954","489608","NADH dehydrogenase activity"
"9304","GO:0005739","489608","mitochondrion"
"9305","GO:0006118","489608","obsolete electron transport"
"9306","GO:0008137","489608","NADH dehydrogenase (ubiquinone) activity"
"9307","GO:0004518","489612","nuclease activity"
"9308","GO:0006281","489612","DNA repair"
"9309","GO:0003677","489612","DNA binding"
"9310","GO:0003824","489612","catalytic activity"
"9311","GO:0005634","489612","nucleus"
"9312","GO:0003824","489614","catalytic activity"
"9313","GO:0008152","489614","metabolic process"
"9314","GO:0003860","489614","3-hydroxyisobutyryl-CoA hydrolase activity"
"9315","GO:0047372","489619","acylglycerol lipase activity"
"9316","GO:0005856","489636","cytoskeleton"
"9317","GO:0030833","489636","regulation of actin filament polymerization"
"9318","GO:0016021","489637","membrane"
"9319","GO:0003824","489665","catalytic activity"
"9320","GO:0008152","489665","metabolic process"
"9321","GO:0004490","489665","methylglutaconyl-CoA hydratase activity"
"9322","GO:0031072","489669","heat shock protein binding"
"9323","GO:0005524","489686","ATP binding"
"9324","GO:0006457","489686","protein folding"
"9325","GO:0051082","489686","unfolded protein binding"
"9326","GO:0005515","489686","protein binding"
"9327","GO:0044267","489686","protein metabolic process"
"9328","GO:0005524","489689","ATP binding"
"9329","GO:0003676","489703","nucleic acid binding"
"9330","GO:0008270","489703","zinc ion binding"
"9331","GO:0051864","489710","histone H3K36 demethylase activity"
"9332","GO:0000104","489711","succinate dehydrogenase activity"
"9333","GO:0006099","489711","tricarboxylic acid cycle"
"9334","GO:0006118","489711","obsolete electron transport"
"9335","GO:0016020","489711","membrane"
"9336","GO:0045281","489711","succinate dehydrogenase complex"
"9337","GO:0045282","489711","plasma membrane succinate dehydrogenase complex"
"9338","GO:0005488","489715","binding"
"9339","GO:0006464","489724","protein modification process"
"9340","GO:0003735","489724","structural constituent of ribosome"
"9341","GO:0005622","489724","intracellular anatomical structure"
"9342","GO:0005840","489724","ribosome"
"9343","GO:0006412","489724","translation"
"9344","GO:0005634","489725","nucleus"
"9345","GO:0030528","489725","obsolete transcription regulator activity"
"9346","GO:0045449","489725","regulation of DNA-templated transcription"
"9347","GO:0016740","489760","transferase activity"
"9348","GO:0004437","489784","obsolete inositol or phosphatidylinositol phosphatase activity"
"9349","GO:0006790","489784","sulfur compound metabolic process"
"9350","GO:0008441","489784","3'(2'),5'-bisphosphate nucleotidase activity"
"9351","GO:0008080","489802","N-acetyltransferase activity"
"9352","GO:0008152","489802","metabolic process"
"9353","GO:0004527","489804","exonuclease activity"
"9354","GO:0005622","489804","intracellular anatomical structure"
"9355","GO:0003676","489804","nucleic acid binding"
"9356","GO:0004518","489804","nuclease activity"
"9357","GO:0042578","489804","phosphoric ester hydrolase activity"
"9358","GO:0043765","489804","T/G mismatch-specific endonuclease activity"
"9359","GO:0015986","489839","proton motive force-driven ATP synthesis"
"9360","GO:0016020","489839","membrane"
"9361","GO:0016469","489839","proton-transporting two-sector ATPase complex"
"9362","GO:0046933","489839","proton-transporting ATP synthase activity, rotational mechanism"
"9363","GO:0046961","489839","proton-transporting ATPase activity, rotational mechanism"
"9364","GO:0016021","489839","membrane"
"9365","GO:0006508","489858","proteolysis"
"9366","GO:0008450","489858","obsolete O-sialoglycoprotein endopeptidase activity"
"9367","GO:0005506","489888","iron ion binding"
"9368","GO:0006118","489888","obsolete electron transport"
"9369","GO:0016021","489888","membrane"
"9370","GO:0016491","489888","oxidoreductase activity"
"9371","GO:0050660","489888","flavin adenine dinucleotide binding"
"9372","GO:0004655","489899","porphobilinogen synthase activity"
"9373","GO:0003677","489951","DNA binding"
"9374","GO:0003918","489951","DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity"
"9375","GO:0005524","489951","ATP binding"
"9376","GO:0005694","489951","chromosome"
"9377","GO:0006265","489951","DNA topological change"
"9378","GO:0006259","489951","DNA metabolic process"
"9379","GO:0003676","489951","nucleic acid binding"
"9380","GO:0006304","489951","DNA modification"
"9381","GO:0005634","489951","nucleus"
"9382","GO:0000151","489973","ubiquitin ligase complex"
"9383","GO:0004842","489973","ubiquitin-protein transferase activity"
"9384","GO:0016567","489973","protein ubiquitination"
"9385","GO:0051438","489973","regulation of ubiquitin-protein transferase activity"
"9386","GO:0051440","489973","obsolete regulation of ubiquitin-protein ligase activity involved in meiotic cell cycle"
"9387","GO:0051443","489973","positive regulation of ubiquitin-protein transferase activity"
"9388","GO:0051444","489973","negative regulation of ubiquitin-protein transferase activity"
"9389","GO:0004672","489982","protein kinase activity"
"9390","GO:0005524","489982","ATP binding"
"9391","GO:0006468","489982","protein phosphorylation"
"9392","GO:0004674","489982","protein serine/threonine kinase activity"
"9393","GO:0004691","489982","cAMP-dependent protein kinase activity"
"9394","GO:0005952","489982","cAMP-dependent protein kinase complex"
"9395","GO:0005524","489992","ATP binding"
"9396","GO:0006457","489992","protein folding"
"9397","GO:0051082","489992","unfolded protein binding"
"9398","GO:0008478","489994","pyridoxal kinase activity"
"9399","GO:0008615","489994","pyridoxine biosynthetic process"
"9400","GO:0005524","490050","ATP binding"
"9401","GO:0006298","490050","mismatch repair"
"9402","GO:0030983","490050","mismatched DNA binding"
"9403","GO:0004553","490079","hydrolase activity, hydrolyzing O-glycosyl compounds"
"9404","GO:0005975","490079","carbohydrate metabolic process"
"9405","GO:0003824","490079","catalytic activity"
"9406","GO:0043169","490079","cation binding"
"9407","GO:0003844","490079","1,4-alpha-glucan branching enzyme activity"
"9408","GO:0005978","490079","glycogen biosynthetic process"
"9409","GO:0004518","490085","nuclease activity"
"9410","GO:0005622","490085","intracellular anatomical structure"
"9411","GO:0006281","490085","DNA repair"
"9412","GO:0000810","490085","diacylglycerol diphosphate phosphatase activity"
"9413","GO:0004787","490085","thiamine diphosphate phosphatase activity"
"9414","GO:0008413","490085","8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity"
"9415","GO:0008758","490085","UDP-2,3-diacylglucosamine hydrolase activity"
"9416","GO:0008796","490085","bis(5'-nucleosyl)-tetraphosphatase activity"
"9417","GO:0008828","490085","dATP diphosphatase activity"
"9418","GO:0016462","490085","pyrophosphatase activity"
"9419","GO:0019176","490085","dihydroneopterin monophosphate phosphatase activity"
"9420","GO:0019177","490085","dihydroneopterin triphosphate pyrophosphohydrolase activity"
"9421","GO:0043141","490085","5'-3' DNA helicase activity"
"9422","GO:0008152","490091","metabolic process"
"9423","GO:0016616","490091","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
"9424","GO:0051287","490091","NAD binding"
"9425","GO:0048037","490091","obsolete cofactor binding"
"9426","GO:0008863","490091","formate dehydrogenase (NAD+) activity"
"9427","GO:0009326","490091","formate dehydrogenase complex"
"9428","GO:0006281","490107","DNA repair"
"9429","GO:0003887","490107","DNA-directed DNA polymerase activity"
"9430","GO:0034061","490107","DNA polymerase activity"
"9431","GO:0003747","490141","translation release factor activity"
"9432","GO:0006415","490141","translational termination"
"9433","GO:0006457","490143","protein folding"
"9434","GO:0016272","490143","prefoldin complex"
"9435","GO:0051082","490143","unfolded protein binding"
"9436","GO:0003677","490154","DNA binding"
"9437","GO:0003887","490154","DNA-directed DNA polymerase activity"
"9438","GO:0006260","490154","DNA replication"
"9439","GO:0003824","490154","catalytic activity"
"9440","GO:0034061","490154","DNA polymerase activity"
"9441","GO:0003777","490156","microtubule motor activity"
"9442","GO:0005524","490156","ATP binding"
"9443","GO:0005875","490156","microtubule associated complex"
"9444","GO:0007018","490156","microtubule-based movement"
"9445","GO:0005083","490158","GTPase regulator activity"
"9446","GO:0006118","490161","obsolete electron transport"
"9447","GO:0016491","490161","oxidoreductase activity"
"9448","GO:0004128","490161","cytochrome-b5 reductase activity, acting on NAD(P)H"
"9449","GO:0003700","490176","DNA-binding transcription factor activity"
"9450","GO:0005634","490176","nucleus"
"9451","GO:0045449","490176","regulation of DNA-templated transcription"
"9452","GO:0005515","490176","protein binding"
"9453","GO:0003677","490176","DNA binding"
"9454","GO:0006355","490176","regulation of DNA-templated transcription"
"9455","GO:0004639","490186","phosphoribosylaminoimidazolesuccinocarboxamide synthase activity"
"9456","GO:0006164","490186","purine nucleotide biosynthetic process"
"9457","GO:0000166","490186","nucleotide binding"
"9458","GO:0004812","490186","aminoacyl-tRNA ligase activity"
"9459","GO:0005524","490186","ATP binding"
"9460","GO:0005737","490186","cytoplasm"
"9461","GO:0006412","490186","translation"
"9462","GO:0006418","490186","tRNA aminoacylation for protein translation"
"9463","GO:0004831","490186","tyrosine-tRNA ligase activity"
"9464","GO:0006437","490186","tyrosyl-tRNA aminoacylation"
"9465","GO:0008270","490188","zinc ion binding"
"9466","GO:0016491","490188","oxidoreductase activity"
"9467","GO:0003960","490188","NADPH:quinone reductase activity"
"9468","GO:0008168","490213","methyltransferase activity"
"9469","GO:0006464","490223","protein modification process"
"9470","GO:0006512","490223","obsolete ubiquitin cycle"
"9471","GO:0008641","490223","ubiquitin-like modifier activating enzyme activity"
"9472","GO:0003824","490223","catalytic activity"
"9473","GO:0004842","490223","ubiquitin-protein transferase activity"
"9474","GO:0051438","490223","regulation of ubiquitin-protein transferase activity"
"9475","GO:0051440","490223","obsolete regulation of ubiquitin-protein ligase activity involved in meiotic cell cycle"
"9476","GO:0051443","490223","positive regulation of ubiquitin-protein transferase activity"
"9477","GO:0051444","490223","negative regulation of ubiquitin-protein transferase activity"
"9478","GO:0003676","490228","nucleic acid binding"
"9479","GO:0004289","490234","obsolete subtilase activity"
"9480","GO:0006508","490234","proteolysis"
"9481","GO:0004252","490234","serine-type endopeptidase activity"
"9482","GO:0005618","490234","cell wall"
"9483","GO:0016020","490234","membrane"
"9484","GO:0006118","490260","obsolete electron transport"
"9485","GO:0016491","490260","oxidoreductase activity"
"9486","GO:0000907","490260","sulfonate dioxygenase activity"
"9487","GO:0010302","490260","2-oxoglutarate-dependent dioxygenase activity"
"9488","GO:0018602","490260","2,4-dichlorophenoxyacetate alpha-ketoglutarate dioxygenase activity"
"9489","GO:0019798","490260","procollagen-proline dioxygenase activity"
"9490","GO:0043734","490260","DNA-N1-methyladenine dioxygenase activity"
"9491","GO:0006284","490271","base-excision repair"
"9492","GO:0004519","490271","endonuclease activity"
"9493","GO:0051539","490271","4 iron, 4 sulfur cluster binding"
"9494","GO:0003824","490271","catalytic activity"
"9495","GO:0006281","490271","DNA repair"
"9496","GO:0016787","490271","hydrolase activity"
"9497","GO:0000701","490271","purine-specific mismatch base pair DNA N-glycosylase activity"
"9498","GO:0004844","490271","uracil DNA N-glycosylase activity"
"9499","GO:0017065","490271","single-strand selective uracil DNA N-glycosylase activity"
"9500","GO:0019104","490271","DNA N-glycosylase activity"
"9501","GO:0043733","490271","DNA-3-methylbase glycosylase activity"
"9502","GO:0003677","490312","DNA binding"
"9503","GO:0044262","490343","obsolete cellular carbohydrate metabolic process"
"9504","GO:0046912","490343","acyltransferase activity, acyl groups converted into alkyl on transfer"
"9505","GO:0004108","490343","citrate (Si)-synthase activity"
"9506","GO:0003700","490350","DNA-binding transcription factor activity"
"9507","GO:0005634","490350","nucleus"
"9508","GO:0006355","490350","regulation of DNA-templated transcription"
"9509","GO:0043565","490350","sequence-specific DNA binding"
"9510","GO:0046983","490350","protein dimerization activity"
"9511","GO:0016853","490371","isomerase activity"
"9512","GO:0005783","490371","endoplasmic reticulum"
"9513","GO:0003756","490371","protein disulfide isomerase activity"
"9514","GO:0003700","490382","DNA-binding transcription factor activity"
"9515","GO:0005634","490382","nucleus"
"9516","GO:0006355","490382","regulation of DNA-templated transcription"
"9517","GO:0008270","490382","zinc ion binding"
"9518","GO:0005524","490383","ATP binding"
